ANT1,67.31,41.91,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,62.23,45.72,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-35.56,142.24,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,67.31,50.80,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,58.42,46.99,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,55.88,49.62,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-63.50,154.94,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,50.80,49.53,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,57.15,52.07,0.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,58.42,52.07,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,44.45,46.99,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,43.18,45.72,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-66.04,148.59,0.00,100nF,NORDIC_NRF_3_RESC0402_L
C2,64.77,48.26,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-45.72,142.24,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,-96.52,148.59,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,-102.87,148.59,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,63.50,41.91,270.00,N.C,NORDIC_NRF_3_RESC0201_L
C23,-107.95,165.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-35.56,154.94,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-41.91,154.94,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-110.49,165.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-118.11,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,59.69,41.91,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-120.65,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-123.19,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-125.73,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-48.26,154.94,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-113.03,165.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-128.27,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-130.81,165.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-54.61,154.94,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,62.23,41.91,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-115.57,165.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-110.49,148.59,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,48.26,49.53,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-77.47,148.59,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,-33.02,148.59,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,57.15,39.37,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,59.69,40.64,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-33.02,165.10,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-20.32,165.10,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-43.18,165.10,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-53.34,165.10,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,-57.15,132.13,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-95.25,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-66.04,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-86.36,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-76.20,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-104.14,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-55.88,142.24,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,-113.03,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-121.92,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-130.81,142.24,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-20.32,148.59,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,-129.54,160.02,0.00,BQ25180,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-20.32,142.24,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-86.36,154.94,0.00,BMA423,BMA423_BMA423
IC9,-115.57,160.02,0.00,RT6160,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-123.19,129.74,0.00,503480-2400,503480-2400_5034802400
J2,-49.21,132.08,0.00,TC2030,TC2030-IDC_TC2030IDC
